# Ground-truth labels for the original hopper-triage batch (30 samples).
# Verdicts by manual reverse-engineering (rizin/deobfuscation for binaries).
# relpath	ideal(b/s/h)	acceptable(comma; borderline/policy cases)
bad/go/github.com-chainreactors-neutron-v0.1.1-0.20260704022034-e0488801d4bf.zip	s	
bad/go/github.com-everyday-items-hexclaw-v0.4.10-0.20260704010012-90604f062b16.zip	b	s
bad/javascript/@shadegpu-cli-2.3.21.tgz	s	b
bad/javascript/neon-terminal-0.5.0.tgz	h	
bad/linux/0dba02154854027b2e9087508aa8c71ea0e462b27c032bc707528efc078ebf7b.elf	h	
bad/linux/9096209e9cbf06226705f0868b86fa23973b9f9f91e58beb17d57b2adc2fc45a.elf	h	
bad/python/typedlogic-0.2.3-py3-none-any.whl	b	
bad/windows/21f7f398bff8669321cb19020bcb6f64e7229695ff5f7f61ab684ab2dcbeba08.exe	h	
bad/windows/dcfd33a5ed6c86fde6216ee270884e6a977e0daed7db7077ae0b1c7fbe3af860.exe	h	
bad/windows/def580734d7194d862e5dac7d48980c392ba93ce5bf85c37f664666b61f83899.exe	h	
good/arch/firefox-developer-edition-153.0b8-1-x86_64.pkg.tar.zst	b	
good/arch/mesa-26.1.4-1-x86_64.pkg.tar.zst	b	
good/vscode/anthropic.claude-code-2.1.201.vsix	b	
good/vscode/robertpiosik.gemini-coder-1.958.0.vsix	b	
good/vscode/vmware.vscode-concourse-2.0.2026070400.vsix	b	s
good/vscode/vscjava.migrate-java-to-azure-1.22.2026070401.vsix	b	s
good/wolfi/grafana-12.4-iamguarded-compat-12.4.2-r2.apk	b	
good/wolfi/nfs-utils-dev-2.9.1-r0.apk	b	
good/wolfi/prometheus-3.11-iamguarded-compat-3.11.0-r0.apk	b	
good/wolfi/vitess-23-compat-23.0.3-r10.apk	b	
new/chrome/chdookfdmdakncemkfnfmikkhjlbgbaf.crx	b	s
new/chrome/chmohngpahfahaghokfplnoahphjkgpf.crx	s	b
new/chrome/ecgodbdbfcielkmlahgnpmjcljobioda.crx	b	s
new/go/github.com-dependency-check-dependency-check-gradle-v11.0.0+incompatible.zip	b	
new/python/coola-1.1.8-py3-none-any.whl	b	
new/python/opendaw_mcp-1.12.0-py3-none-any.whl	b	
new/python/pyfabric-0.1.10-py3-none-any.whl	b	
new/python/pyses-0.1.2-py3-none-any.whl	b	
new/python/tesserae-0.13.2-py3-none-any.whl	s	b
new/ruby/playwright-ruby-client-1.61.0.gem	b	
